date,cfd,direction,mode,entry,exit,pnlPts,pnlDollars,durationMin,exitReason,maxAdverse,maxFavorable,id
2026-01-23,XAUUSD,LONG,scalp,4934.4324324324325,4936.4324324324325,2,2,435,trail,33.22,32.86,2026-01-23-0145-XAUUSD-LONG-4934
2026-01-29,XAUUSD,LONG,scalp,5486.86013667426,5499.33027334852,12.47,12.47,15,tp1,0,111.2,2026-01-29-0100-XAUUSD-LONG-5487
2026-01-29,XAUUSD,LONG,scalp,5524.666059225512,5516.666059225512,-8,-8,15,sl,70.82,0,2026-01-29-0145-XAUUSD-LONG-5525
2026-01-29,XAUUSD,LONG,scalp,5521.759453302961,5513.759453302961,-8,-8,15,sl,21.06,1.34,2026-01-29-0230-XAUUSD-LONG-5522
2026-01-29,XAUUSD,LONG,swing,5534.49840546697,5526.49840546697,-8,-8,15,sl,24.73,0,2026-01-29-0400-XAUUSD-LONG-5534
2026-01-29,XAUUSD,LONG,swing,5548.530296127563,5540.530296127563,-8,-8,15,sl,26.67,0,2026-01-29-0445-XAUUSD-LONG-5549
2026-01-29,XAUUSD,LONG,swing,5540.712528473804,5532.712528473804,-8,-8,15,sl,13.54,8.23,2026-01-29-0530-XAUUSD-LONG-5541
2026-01-29,XAUUSD,LONG,swing,5559.565375854214,5551.565375854214,-8,-8,15,sl,8.53,2.27,2026-01-29-0615-XAUUSD-LONG-5560
2026-01-29,XAUUSD,LONG,swing,5572.274259681093,5584.9385193621865,12.66,12.66,15,tp1,0,22.98,2026-01-29-0700-XAUUSD-LONG-5572
2026-01-29,XAUUSD,LONG,swing,5575.110706150342,5587.781412300683,12.67,12.67,15,tp1,1.1,20.14,2026-01-29-0745-XAUUSD-LONG-5575
2026-01-29,XAUUSD,LONG,swing,5554.2633257403195,5546.2633257403195,-8,-8,15,sl,12.65,3.56,2026-01-29-0915-XAUUSD-LONG-5554
2026-01-29,XAUUSD,LONG,swing,5532.273348519362,5524.273348519362,-8,-8,15,sl,26.11,0,2026-01-29-1515-XAUUSD-LONG-5532
2026-01-29,XAUUSD,LONG,swing,5347.2528473804105,5339.2528473804105,-8,-8,15,sl,16.76,11.76,2026-01-29-1945-XAUUSD-LONG-5347
2026-01-29,XAUUSD,LONG,swing,5353.958086560365,5345.958086560365,-8,-8,15,sl,17.47,8.29,2026-01-29-2030-XAUUSD-LONG-5354
2026-01-29,XAUUSD,LONG,swing,5330.865603644646,5322.865603644646,-8,-8,15,sl,40.58,0,2026-01-29-2115-XAUUSD-LONG-5331
2026-01-29,XAUUSD,LONG,swing,5407.148974943052,5399.148974943052,-8,-8,15,sl,23.85,0,2026-01-29-2245-XAUUSD-LONG-5407
2026-01-29,XAUUSD,LONG,swing,5395.332118451025,5387.332118451025,-8,-8,15,sl,26.02,2.86,2026-01-29-2330-XAUUSD-LONG-5395
2026-03-02,NAS100,SHORT,scalp,24812.23489425982,24807.23489425982,5,0.5,90,trail,49.07,46.93,2026-03-02-0145-NAS100-SHORT-24812
2026-03-02,NAS100,SHORT,scalp,24827.001510574017,24640.332326283988,186.67,18.67,285,tp1,34.3,192.9,2026-03-02-0230-NAS100-SHORT-24827
2026-03-02,NAS100,SHORT,swing,24602.388217522657,24672.882326283987,-70.49,-2.11,150,sl,87.01,29.29,2026-03-02-1000-NAS100-SHORT-24602
2026-03-02,NAS100,SHORT,swing,24774.866314199397,24845.749471299092,-70.88,-2.13,15,sl,84.63,2.77,2026-03-02-1515-NAS100-SHORT-24775
2026-03-02,NAS100,SHORT,swing,25042.473564954682,24954.5,87.97,2.64,105,eod,0,132.47,2026-03-02-2200-NAS100-SHORT-25042
2026-03-06,NAS100,SHORT,scalp,25041.42692889561,25036.42692889561,5,0.5,105,trail,21.87,36.83,2026-03-06-0100-NAS100-SHORT-25041
2026-03-06,NAS100,SHORT,scalp,25064.061119515885,25059.061119515885,5,0.5,120,trail,5.54,59.46,2026-03-06-0145-NAS100-SHORT-25064
2026-03-06,NAS100,SHORT,intraday,25078.082299546142,25002.31770045386,75.76,7.58,15,tp1,0,102.48,2026-03-06-1045-NAS100-SHORT-25078
2026-03-06,NAS100,SHORT,intraday,24930.96006051437,24855.639939485627,75.32,7.53,15,tp1,0,81.66,2026-03-06-1130-NAS100-SHORT-24931
2026-03-06,NAS100,SHORT,intraday,24861.354916792738,24786.24508320726,75.11,7.51,45,tp1,0,75.45,2026-03-06-1345-NAS100-SHORT-24861
2026-03-06,NAS100,SHORT,intraday,24848.836006051435,24773.76399394856,75.07,7.51,15,tp1,0,154.04,2026-03-06-1430-NAS100-SHORT-24849
2026-03-06,NAS100,SHORT,intraday,24631.808169440243,24626.808169440243,5,0.5,30,trail,66.39,52.61,2026-03-06-1600-NAS100-SHORT-24632
2026-03-06,NAS100,SHORT,intraday,24695.304084720123,24728.956127080182,-33.65,-3.37,15,sl,66.4,63.7,2026-03-06-1645-NAS100-SHORT-24695
2026-03-06,NAS100,SHORT,intraday,24788.54493192133,24822.267397881995,-33.72,-3.37,15,sl,73.26,42.54,2026-03-06-1945-NAS100-SHORT-24789
2026-03-06,NAS100,SHORT,intraday,24823.998487140696,24749.001512859304,75,7.5,15,tp1,0,213.4,2026-03-06-2115-NAS100-SHORT-24824
2026-03-06,NAS100,SHORT,intraday,24754.393343419062,24679.606656580938,74.79,7.48,15,tp1,0,143.79,2026-03-06-2200-NAS100-SHORT-24754
2026-03-06,NAS100,SHORT,intraday,24671.768532526476,24597.231467473528,74.54,7.45,15,tp1,0,80.07,2026-03-06-2245-NAS100-SHORT-24672
2026-03-10,NAS100,SHORT,scalp,24929.55904617714,24924.55904617714,5,0.5,270,trail,46.74,97.16,2026-03-10-0230-NAS100-SHORT-24930
2026-03-10,NAS100,SHORT,swing,24972.087433762303,25081.32172596518,-109.23,-3.28,105,sl,121.71,99.89,2026-03-10-1515-NAS100-SHORT-24972
2026-03-10,NAS100,SHORT,swing,25188.741483724454,24998.637774413324,190.1,5.7,45,tp1,0,222.34,2026-03-10-2030-NAS100-SHORT-25189
2026-03-19,NAS100,SHORT,swing,24434.789634146342,24429.789634146342,5,0.15,555,trail,35.41,327.79,2026-03-19-1130-NAS100-SHORT-24435
2026-03-20,NAS100,SHORT,scalp,24360.62700228833,24355.62700228833,5,0.5,450,trail,80.27,97.23,2026-03-20-0145-NAS100-SHORT-24361
